REID,Pin Num,Land Value , Bldg Value , Misc Imprv Value ,  Deferred & Exempt Value,Total Taxable Value
13403,8626540550,12000,18661,200,30861,0
13404,8626527476,11000,40148,0,0,51148
13406,8626620646,24000,103681,2000,129681,0
13411,7629530281,175000,189685,51934,416619,0
13412,7657145411,20000,19059,3000,42059,0
13415,7643718265,10000,5907,0,15907,0
13416,7641494343,14000,45147,0,59147,0
13420,7643932167,16000,13283,0,0,29283
13423,7629033159,41050,21667,0,0,62717
13424,7629143668,136520,842794,0,610457,368857
13425,7619919647,82650,2323,0,84973,0
13426,7647961121,70000,93248,3400,166648,0
13427,7647371864,11000,108608,2000,121608,0
13428,7654755344,13000,62756,5000,47179,33577
13429,7666153018,25000,47104,26415,98519,0
13430,7652013522,10000,9707,0,19707,0
